Stock,Features,Volatility,Percent Return,Win Rate,Accuracy Test,Total Dict,Selected Features
AZUL4.SA,13,0.753508859202774,-25.860693309999988,42.857142857142854,0.304,"{'-1.0': {'precision': 0.4, 'recall': 0.08163265306122448, 'f1-score': 0.13559322033898302, 'support': 98.0}, '0.0': {'precision': 0.2542372881355932, 'recall': 0.44776119402985076, 'f1-score': 0.32432432432432434, 'support': 67.0}, '1.0': {'precision': 0.3392857142857143, 'recall': 0.4470588235294118, 'f1-score': 0.38578680203045684, 'support': 85.0}, 'accuracy': 0.304, 'macro avg': {'precision': 0.33117433414043584, 'recall': 0.3254842235401623, 'f1-score': 0.2819014488979214, 'support': 250.0}, 'weighted avg': {'precision': 0.3402927360774819, 'recall': 0.304, 'f1-score': 0.2712389739821556, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,14,0.753508859202774,-3.5565999999999987,42.857142857142854,0.324,"{'-1.0': {'precision': 0.45, 'recall': 0.09183673469387756, 'f1-score': 0.15254237288135591, 'support': 98.0}, '0.0': {'precision': 0.26666666666666666, 'recall': 0.47761194029850745, 'f1-score': 0.3422459893048128, 'support': 67.0}, '1.0': {'precision': 0.36363636363636365, 'recall': 0.47058823529411764, 'f1-score': 0.41025641025641024, 'support': 85.0}, 'accuracy': 0.324, 'macro avg': {'precision': 0.3601010101010101, 'recall': 0.3466789700955009, 'f1-score': 0.301681590814193, 'support': 250.0}, 'weighted avg': {'precision': 0.3715030303030303, 'recall': 0.324, 'f1-score': 0.2910057147903608, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window']"
AZUL4.SA,15,0.753508859202774,12.567600159999964,58.333333333333336,0.304,"{'-1.0': {'precision': 0.47058823529411764, 'recall': 0.08163265306122448, 'f1-score': 0.1391304347826087, 'support': 98.0}, '0.0': {'precision': 0.23770491803278687, 'recall': 0.43283582089552236, 'f1-score': 0.30687830687830686, 'support': 67.0}, '1.0': {'precision': 0.35135135135135137, 'recall': 0.4588235294117647, 'f1-score': 0.3979591836734694, 'support': 85.0}, 'accuracy': 0.304, 'macro avg': {'precision': 0.35321483489275196, 'recall': 0.32443066778950386, 'f1-score': 0.2813226417781283, 'support': 250.0}, 'weighted avg': {'precision': 0.36763496572754045, 'recall': 0.304, 'f1-score': 0.2720886391271484, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,16,0.753508859202774,-21.305194290000035,33.33333333333333,0.308,"{'-1.0': {'precision': 0.23076923076923078, 'recall': 0.030612244897959183, 'f1-score': 0.05405405405405406, 'support': 98.0}, '0.0': {'precision': 0.28448275862068967, 'recall': 0.4925373134328358, 'f1-score': 0.3606557377049181, 'support': 67.0}, '1.0': {'precision': 0.33884297520661155, 'recall': 0.4823529411764706, 'f1-score': 0.39805825242718446, 'support': 85.0}, 'accuracy': 0.308, 'macro avg': {'precision': 0.28469832153217733, 'recall': 0.3351674998357552, 'f1-score': 0.27092268139538556, 'support': 250.0}, 'weighted avg': {'precision': 0.28190952934213126, 'recall': 0.308, 'f1-score': 0.25318473271934994, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,17,0.753508859202774,-27.453194050000086,40.0,0.292,"{'-1.0': {'precision': 0.38461538461538464, 'recall': 0.05102040816326531, 'f1-score': 0.09009009009009009, 'support': 98.0}, '0.0': {'precision': 0.23275862068965517, 'recall': 0.40298507462686567, 'f1-score': 0.29508196721311475, 'support': 67.0}, '1.0': {'precision': 0.33884297520661155, 'recall': 0.4823529411764706, 'f1-score': 0.39805825242718446, 'support': 85.0}, 'accuracy': 0.292, 'macro avg': {'precision': 0.3187389935038838, 'recall': 0.31211947465553386, 'f1-score': 0.26107676991012974, 'support': 250.0}, 'weighted avg': {'precision': 0.3283551526843063, 'recall': 0.292, 'f1-score': 0.24973708835367278, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,18,0.753508859202774,-13.69160000000007,48.484848484848484,0.312,"{'-1.0': {'precision': 0.3684210526315789, 'recall': 0.07142857142857142, 'f1-score': 0.11965811965811965, 'support': 98.0}, '0.0': {'precision': 0.24742268041237114, 'recall': 0.3582089552238806, 'f1-score': 0.29268292682926833, 'support': 67.0}, '1.0': {'precision': 0.35074626865671643, 'recall': 0.5529411764705883, 'f1-score': 0.4292237442922374, 'support': 85.0}, 'accuracy': 0.312, 'macro avg': {'precision': 0.3221966672335555, 'recall': 0.32752623437434675, 'f1-score': 0.2805215969265418, 'support': 250.0}, 'weighted avg': {'precision': 0.32998406232537797, 'recall': 0.312, 'f1-score': 0.2712810803555875, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,19,0.753508859202774,-17.12669314000006,50.0,0.324,"{'-1.0': {'precision': 0.7058823529411765, 'recall': 0.12244897959183673, 'f1-score': 0.20869565217391303, 'support': 98.0}, '0.0': {'precision': 0.27419354838709675, 'recall': 0.5074626865671642, 'f1-score': 0.35602094240837695, 'support': 67.0}, '1.0': {'precision': 0.3211009174311927, 'recall': 0.4117647058823529, 'f1-score': 0.36082474226804123, 'support': 85.0}, 'accuracy': 0.324, 'macro avg': {'precision': 0.4337256062531553, 'recall': 0.347225457347118, 'f1-score': 0.3085137789501104, 'support': 250.0}, 'weighted avg': {'precision': 0.4593640652472887, 'recall': 0.324, 'f1-score': 0.29990272058875295, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,20,0.753508859202774,-8.814922260000076,48.148148148148145,0.32,"{'-1.0': {'precision': 0.5294117647058824, 'recall': 0.09183673469387756, 'f1-score': 0.1565217391304348, 'support': 98.0}, '0.0': {'precision': 0.2698412698412698, 'recall': 0.5074626865671642, 'f1-score': 0.35233160621761656, 'support': 67.0}, '1.0': {'precision': 0.34579439252336447, 'recall': 0.43529411764705883, 'f1-score': 0.3854166666666667, 'support': 85.0}, 'accuracy': 0.32, 'macro avg': {'precision': 0.3816824756901722, 'recall': 0.3448645129693668, 'f1-score': 0.298090004004906, 'support': 250.0}, 'weighted avg': {'precision': 0.39741696554011013, 'recall': 0.32, 'f1-score': 0.2868230588721184, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,21,0.753508859202774,-24.23669356000001,39.285714285714285,0.284,"{'-1.0': {'precision': 0.5, 'recall': 0.061224489795918366, 'f1-score': 0.1090909090909091, 'support': 98.0}, '0.0': {'precision': 0.22413793103448276, 'recall': 0.3880597014925373, 'f1-score': 0.2841530054644809, 'support': 67.0}, '1.0': {'precision': 0.319672131147541, 'recall': 0.4588235294117647, 'f1-score': 0.37681159420289856, 'support': 85.0}, 'accuracy': 0.284, 'macro avg': {'precision': 0.3479366873940079, 'recall': 0.30270257356674013, 'f1-score': 0.25668516958609616, 'support': 250.0}, 'weighted avg': {'precision': 0.3647574901074053, 'recall': 0.284, 'f1-score': 0.24703258385710275, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,22,0.753508859202774,21.783192400000026,52.63157894736842,0.312,"{'-1.0': {'precision': 0.5454545454545454, 'recall': 0.061224489795918366, 'f1-score': 0.11009174311926606, 'support': 98.0}, '0.0': {'precision': 0.25735294117647056, 'recall': 0.5223880597014925, 'f1-score': 0.34482758620689646, 'support': 67.0}, '1.0': {'precision': 0.3592233009708738, 'recall': 0.43529411764705883, 'f1-score': 0.3936170212765957, 'support': 85.0}, 'accuracy': 0.312, 'macro avg': {'precision': 0.3873435958672966, 'recall': 0.33963555571482323, 'f1-score': 0.2828454502009194, 'support': 250.0}, 'weighted avg': {'precision': 0.404924692383573, 'recall': 0.312, 'f1-score': 0.2693995436402431, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
