Stock,Features,Volatility,Percent Return,Win Rate,Accuracy Test,Total Dict,Selected Features
AZUL4.SA,13,0.753508859202774,-43.31250000000002,25.925925925925924,0.328,"{'-1.0': {'precision': 0.3333333333333333, 'recall': 0.030612244897959183, 'f1-score': 0.056074766355140186, 'support': 98.0}, '0.0': {'precision': 0.2894736842105263, 'recall': 0.4925373134328358, 'f1-score': 0.36464088397790057, 'support': 67.0}, '1.0': {'precision': 0.36220472440944884, 'recall': 0.5411764705882353, 'f1-score': 0.4339622641509434, 'support': 85.0}, 'accuracy': 0.328, 'macro avg': {'precision': 0.3283372473177695, 'recall': 0.35477534297301005, 'f1-score': 0.2848926381613281, 'support': 250.0}, 'weighted avg': {'precision': 0.33139522033430036, 'recall': 0.328, 'f1-score': 0.26725223512861307, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window']"
AZUL4.SA,14,0.753508859202774,-32.577799050000024,33.33333333333333,0.284,"{'-1.0': {'precision': 0.4666666666666667, 'recall': 0.07142857142857142, 'f1-score': 0.12389380530973451, 'support': 98.0}, '0.0': {'precision': 0.2631578947368421, 'recall': 0.5223880597014925, 'f1-score': 0.35, 'support': 67.0}, '1.0': {'precision': 0.28431372549019607, 'recall': 0.3411764705882353, 'f1-score': 0.31016042780748665, 'support': 85.0}, 'accuracy': 0.284, 'macro avg': {'precision': 0.33804609563123494, 'recall': 0.3116643672394331, 'f1-score': 0.2613514110390737, 'support': 250.0}, 'weighted avg': {'precision': 0.3501263157894737, 'recall': 0.284, 'f1-score': 0.24782091713596138, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,15,0.753508859202774,-12.053992420000013,41.37931034482759,0.28,"{'-1.0': {'precision': 0.23809523809523808, 'recall': 0.05102040816326531, 'f1-score': 0.08403361344537816, 'support': 98.0}, '0.0': {'precision': 0.23529411764705882, 'recall': 0.417910447761194, 'f1-score': 0.3010752688172043, 'support': 67.0}, '1.0': {'precision': 0.33636363636363636, 'recall': 0.43529411764705883, 'f1-score': 0.37948717948717947, 'support': 85.0}, 'accuracy': 0.28, 'macro avg': {'precision': 0.2699176640353111, 'recall': 0.3014083245238394, 'f1-score': 0.2548653539165873, 'support': 250.0}, 'weighted avg': {'precision': 0.27075579322638144, 'recall': 0.28, 'f1-score': 0.24265498953924, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,16,0.753508859202774,6.653617789999916,50.0,0.316,"{'-1.0': {'precision': 0.34782608695652173, 'recall': 0.08163265306122448, 'f1-score': 0.1322314049586777, 'support': 98.0}, '0.0': {'precision': 0.2923076923076923, 'recall': 0.5671641791044776, 'f1-score': 0.38578680203045684, 'support': 67.0}, '1.0': {'precision': 0.3402061855670103, 'recall': 0.38823529411764707, 'f1-score': 0.3626373626373626, 'support': 85.0}, 'accuracy': 0.316, 'macro avg': {'precision': 0.32677998827707483, 'recall': 0.34567737542778304, 'f1-score': 0.29355185654216576, 'support': 250.0}, 'weighted avg': {'precision': 0.33035639071820155, 'recall': 0.316, 'f1-score': 0.27852227698466736, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,17,0.753508859202774,4.880200389999991,44.0,0.332,"{'-1.0': {'precision': 0.5517241379310345, 'recall': 0.16326530612244897, 'f1-score': 0.25196850393700787, 'support': 98.0}, '0.0': {'precision': 0.2608695652173913, 'recall': 0.44776119402985076, 'f1-score': 0.32967032967032966, 'support': 67.0}, '1.0': {'precision': 0.3490566037735849, 'recall': 0.43529411764705883, 'f1-score': 0.387434554973822, 'support': 85.0}, 'accuracy': 0.332, 'macro avg': {'precision': 0.3872167689740036, 'recall': 0.3487735392664528, 'f1-score': 0.3230244628603865, 'support': 250.0}, 'weighted avg': {'precision': 0.40486815083024524, 'recall': 0.332, 'f1-score': 0.31885105058605495, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,18,0.753508859202774,-4.3049807000001055,54.54545454545454,0.312,"{'-1.0': {'precision': 0.45454545454545453, 'recall': 0.10204081632653061, 'f1-score': 0.16666666666666666, 'support': 98.0}, '0.0': {'precision': 0.26618705035971224, 'recall': 0.5522388059701493, 'f1-score': 0.3592233009708738, 'support': 67.0}, '1.0': {'precision': 0.34831460674157305, 'recall': 0.36470588235294116, 'f1-score': 0.3563218390804598, 'support': 85.0}, 'accuracy': 0.312, 'macro avg': {'precision': 0.3563490372155799, 'recall': 0.339661834883207, 'f1-score': 0.2940706022393334, 'support': 250.0}, 'weighted avg': {'precision': 0.36794691397035595, 'recall': 0.312, 'f1-score': 0.2827546032808838, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,19,0.753508859202774,-8.699493110000004,42.10526315789473,0.312,"{'-1.0': {'precision': 0.6666666666666666, 'recall': 0.08163265306122448, 'f1-score': 0.14545454545454545, 'support': 98.0}, '0.0': {'precision': 0.2457627118644068, 'recall': 0.43283582089552236, 'f1-score': 0.31351351351351353, 'support': 67.0}, '1.0': {'precision': 0.3416666666666667, 'recall': 0.4823529411764706, 'f1-score': 0.4, 'support': 85.0}, 'accuracy': 0.312, 'macro avg': {'precision': 0.41803201506591336, 'recall': 0.33227380504440585, 'f1-score': 0.28632268632268637, 'support': 250.0}, 'weighted avg': {'precision': 0.443364406779661, 'recall': 0.312, 'f1-score': 0.27703980343980344, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,20,0.753508859202774,-16.32100000000006,48.0,0.296,"{'-1.0': {'precision': 0.40540540540540543, 'recall': 0.15306122448979592, 'f1-score': 0.2222222222222222, 'support': 98.0}, '0.0': {'precision': 0.22727272727272727, 'recall': 0.373134328358209, 'f1-score': 0.2824858757062147, 'support': 67.0}, '1.0': {'precision': 0.3300970873786408, 'recall': 0.4, 'f1-score': 0.3617021276595745, 'support': 85.0}, 'accuracy': 0.296, 'macro avg': {'precision': 0.3209250733522578, 'recall': 0.308731850949335, 'f1-score': 0.2888034085293371, 'support': 250.0}, 'weighted avg': {'precision': 0.3320610195367477, 'recall': 0.296, 'f1-score': 0.285796049204632, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,21,0.753508859202774,9.194300009999989,53.333333333333336,0.312,"{'-1.0': {'precision': 0.46153846153846156, 'recall': 0.061224489795918366, 'f1-score': 0.10810810810810811, 'support': 98.0}, '0.0': {'precision': 0.24545454545454545, 'recall': 0.40298507462686567, 'f1-score': 0.3050847457627119, 'support': 67.0}, '1.0': {'precision': 0.3543307086614173, 'recall': 0.5294117647058824, 'f1-score': 0.42452830188679247, 'support': 85.0}, 'accuracy': 0.312, 'macro avg': {'precision': 0.35377457188480815, 'recall': 0.33120710970955547, 'f1-score': 0.2792403852525375, 'support': 250.0}, 'weighted avg': {'precision': 0.36717733604977704, 'recall': 0.312, 'f1-score': 0.2684807128842946, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,22,0.753508859202774,-9.131200000000026,44.0,0.32,"{'-1.0': {'precision': 0.4444444444444444, 'recall': 0.04081632653061224, 'f1-score': 0.07476635514018691, 'support': 98.0}, '0.0': {'precision': 0.2672413793103448, 'recall': 0.4626865671641791, 'f1-score': 0.33879781420765026, 'support': 67.0}, '1.0': {'precision': 0.36, 'recall': 0.5294117647058824, 'f1-score': 0.42857142857142855, 'support': 85.0}, 'accuracy': 0.32, 'macro avg': {'precision': 0.3572286079182631, 'recall': 0.344304886133558, 'f1-score': 0.28071186597308856, 'support': 250.0}, 'weighted avg': {'precision': 0.3682429118773946, 'recall': 0.32, 'f1-score': 0.26582051113688926, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,23,0.753508859202774,-31.43359430999999,40.0,0.276,"{'-1.0': {'precision': 0.4166666666666667, 'recall': 0.10204081632653061, 'f1-score': 0.16393442622950818, 'support': 98.0}, '0.0': {'precision': 0.24427480916030533, 'recall': 0.47761194029850745, 'f1-score': 0.32323232323232326, 'support': 67.0}, '1.0': {'precision': 0.28421052631578947, 'recall': 0.3176470588235294, 'f1-score': 0.3, 'support': 85.0}, 'accuracy': 0.276, 'macro avg': {'precision': 0.3150506673809205, 'recall': 0.2990999384828558, 'f1-score': 0.2623889164872772, 'support': 250.0}, 'weighted avg': {'precision': 0.3254305611356636, 'recall': 0.276, 'f1-score': 0.2528885577082298, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,24,0.753508859202774,-28.605894100000036,46.42857142857143,0.328,"{'-1.0': {'precision': 0.4, 'recall': 0.04081632653061224, 'f1-score': 0.07407407407407407, 'support': 98.0}, '0.0': {'precision': 0.275, 'recall': 0.4925373134328358, 'f1-score': 0.35294117647058826, 'support': 67.0}, '1.0': {'precision': 0.375, 'recall': 0.5294117647058824, 'f1-score': 0.43902439024390244, 'support': 85.0}, 'accuracy': 0.328, 'macro avg': {'precision': 0.35000000000000003, 'recall': 0.35425513488977683, 'f1-score': 0.2886798802628549, 'support': 250.0}, 'weighted avg': {'precision': 0.358, 'recall': 0.328, 'f1-score': 0.2728935650140816, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,25,0.753508859202774,6.215631279999961,52.94117647058824,0.316,"{'-1.0': {'precision': 0.4375, 'recall': 0.07142857142857142, 'f1-score': 0.12280701754385964, 'support': 98.0}, '0.0': {'precision': 0.27586206896551724, 'recall': 0.47761194029850745, 'f1-score': 0.34972677595628415, 'support': 67.0}, '1.0': {'precision': 0.3389830508474576, 'recall': 0.47058823529411764, 'f1-score': 0.39408866995073893, 'support': 85.0}, 'accuracy': 0.316, 'macro avg': {'precision': 0.350781706604325, 'recall': 0.3398762490070655, 'f1-score': 0.2888741544836276, 'support': 250.0}, 'weighted avg': {'precision': 0.3606852717708942, 'recall': 0.316, 'f1-score': 0.2758572746167284, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,26,0.753508859202774,-11.521893850000033,46.42857142857143,0.308,"{'-1.0': {'precision': 0.42857142857142855, 'recall': 0.061224489795918366, 'f1-score': 0.10714285714285714, 'support': 98.0}, '0.0': {'precision': 0.23214285714285715, 'recall': 0.3880597014925373, 'f1-score': 0.2905027932960894, 'support': 67.0}, '1.0': {'precision': 0.3629032258064516, 'recall': 0.5294117647058824, 'f1-score': 0.430622009569378, 'support': 85.0}, 'accuracy': 0.308, 'macro avg': {'precision': 0.3412058371735791, 'recall': 0.326231985331446, 'f1-score': 0.27608922000277486, 'support': 250.0}, 'weighted avg': {'precision': 0.3536013824884793, 'recall': 0.308, 'f1-score': 0.26626623185694054, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
AZUL4.SA,27,0.753508859202774,-8.733000030000094,37.93103448275862,0.316,"{'-1.0': {'precision': 0.43478260869565216, 'recall': 0.10204081632653061, 'f1-score': 0.1652892561983471, 'support': 98.0}, '0.0': {'precision': 0.2719298245614035, 'recall': 0.4626865671641791, 'f1-score': 0.3425414364640884, 'support': 67.0}, '1.0': {'precision': 0.336283185840708, 'recall': 0.4470588235294118, 'f1-score': 0.3838383838383838, 'support': 85.0}, 'accuracy': 0.316, 'macro avg': {'precision': 0.3476652063659212, 'recall': 0.3372620690067072, 'f1-score': 0.2972230255002731, 'support': 250.0}, 'weighted avg': {'precision': 0.3576482587769925, 'recall': 0.316, 'f1-score': 0.28709954390717823, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']"
