Date,Open,High,Low,Close,Adj Close,Volume,Signal
2023-01-02,36.880001,37.66,36.450001,36.759998,36.70105,6577200,1
2023-01-03,36.5,36.810001,34.25,34.299999,34.244995,12918600,1
2023-01-04,33.900002,34.75,33.099998,34.09,34.035332,10889600,1
2023-01-05,34.790001,35.290001,34.130001,34.970001,34.913921,8847600,1
2023-01-06,34.209999,35.41,33.900002,35.18,35.123585,9947800,1
2023-01-09,35.84,36.650002,35.630001,36.009998,35.952251,8449600,1
2023-01-10,36.299999,36.369999,35.369999,36.209999,36.151932,6245600,1
2023-01-11,36.52,39.02,36.439999,39.02,38.957428,18629200,1
2023-01-12,39.029999,39.799999,38.830002,39.75,39.686256,8608700,1
2023-01-13,39.700001,39.75,38.599998,39.049999,38.987377,6640700,1
2023-01-16,38.77,39.349998,38.68,39.07,39.007347,4586700,1
2023-01-17,39.27,39.849998,37.639999,38.740002,38.677879,11896000,1
2023-01-18,39.209999,39.779999,38.919998,38.970001,38.907509,9918100,-1
2023-01-19,38.82,40.540001,38.52,40.52,40.455021,10453000,-1
2023-01-20,40.310001,41.490002,39.529999,41.099998,41.034092,12920300,-1
2023-01-23,41.310001,42.830002,40.970001,41.560001,41.493355,15356200,-1
2023-01-24,41.59,41.93,40.27,41.029999,40.964203,11209500,0
2023-01-25,40.98,42.310001,40.349998,41.919998,41.852776,7655500,0
2023-01-26,42.25,42.939999,42.080002,42.34,42.272102,9836900,0
2023-01-27,42.93,43.790001,41.610001,41.790001,41.722988,10644000,0
2023-01-30,41.849998,42.009998,41.02,41.5,41.433449,5871900,0
2023-01-31,41.290001,42.700001,40.959999,42.099998,42.032486,8640600,1
2023-02-01,42.23,42.389999,40.549999,41.099998,41.034092,11182600,-1
2023-02-02,40.689999,41.759998,39.560001,40.049999,39.985775,8603300,1
2023-02-03,40.299999,41.41,39.650002,40.169998,40.105583,9046000,-1
2023-02-06,40.189999,41.389999,40.119999,41.200001,41.133934,8921200,1
2023-02-07,41.650002,41.869999,40.900002,41.630001,41.563244,8076600,-1
2023-02-08,41.799999,42.57,41.439999,42.549999,42.481766,8021200,1
2023-02-09,42.540001,42.639999,41.740002,41.959999,41.892712,6964700,-1
2023-02-10,42.299999,43.169998,42.16,42.75,42.681446,9761600,1
2023-02-13,42.599998,42.900002,41.740002,42.040001,41.972584,7641300,-1
2023-02-14,41.799999,41.970001,40.400002,40.860001,40.794476,10415700,-1
2023-02-15,40.610001,41.279999,40.25,40.900002,40.834415,8562200,1
2023-02-16,40.360001,41.02,39.919998,40.25,40.185455,8065700,1
2023-02-17,39.689999,39.959999,37.98,38.209999,38.148724,14636700,1
2023-02-22,37.68,37.68,36.57,37.599998,37.539703,8947600,1
2023-02-23,37.740002,38.689999,37.0,37.470001,37.409916,13669800,1
2023-02-24,37.790001,38.25,37.110001,37.599998,37.539703,7194800,1
2023-02-27,37.599998,37.970001,36.849998,37.02,36.960636,11174800,1
