,Stock,Features,Volatility,Percent Return,Win Rate,Accuracy Test,Total Dict,Selected Features,binarized
110,AZUL4.SA,13,0.753508859202774,-25.860693309999988,42.85714285714285,0.304,"{'-1.0': {'precision': 0.4, 'recall': 0.08163265306122448, 'f1-score': 0.13559322033898302, 'support': 98.0}, '0.0': {'precision': 0.2542372881355932, 'recall': 0.44776119402985076, 'f1-score': 0.32432432432432434, 'support': 67.0}, '1.0': {'precision': 0.3392857142857143, 'recall': 0.4470588235294118, 'f1-score': 0.38578680203045684, 'support': 85.0}, 'accuracy': 0.304, 'macro avg': {'precision': 0.33117433414043584, 'recall': 0.3254842235401623, 'f1-score': 0.2819014488979214, 'support': 250.0}, 'weighted avg': {'precision': 0.3402927360774819, 'recall': 0.304, 'f1-score': 0.2712389739821556, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'awesome_window1', 'awesome_window2']",0
111,AZUL4.SA,14,0.753508859202774,-3.5565999999999987,42.85714285714285,0.324,"{'-1.0': {'precision': 0.45, 'recall': 0.09183673469387756, 'f1-score': 0.15254237288135591, 'support': 98.0}, '0.0': {'precision': 0.26666666666666666, 'recall': 0.47761194029850745, 'f1-score': 0.3422459893048128, 'support': 67.0}, '1.0': {'precision': 0.36363636363636365, 'recall': 0.47058823529411764, 'f1-score': 0.41025641025641024, 'support': 85.0}, 'accuracy': 0.324, 'macro avg': {'precision': 0.3601010101010101, 'recall': 0.3466789700955009, 'f1-score': 0.301681590814193, 'support': 250.0}, 'weighted avg': {'precision': 0.3715030303030303, 'recall': 0.324, 'f1-score': 0.2910057147903608, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window']",0
112,AZUL4.SA,15,0.753508859202774,12.567600159999964,58.333333333333336,0.304,"{'-1.0': {'precision': 0.47058823529411764, 'recall': 0.08163265306122448, 'f1-score': 0.1391304347826087, 'support': 98.0}, '0.0': {'precision': 0.23770491803278687, 'recall': 0.43283582089552236, 'f1-score': 0.30687830687830686, 'support': 67.0}, '1.0': {'precision': 0.35135135135135137, 'recall': 0.4588235294117647, 'f1-score': 0.3979591836734694, 'support': 85.0}, 'accuracy': 0.304, 'macro avg': {'precision': 0.35321483489275196, 'recall': 0.32443066778950386, 'f1-score': 0.2813226417781283, 'support': 250.0}, 'weighted avg': {'precision': 0.36763496572754045, 'recall': 0.304, 'f1-score': 0.2720886391271484, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']",0
113,AZUL4.SA,16,0.753508859202774,-21.305194290000035,33.33333333333333,0.308,"{'-1.0': {'precision': 0.23076923076923078, 'recall': 0.030612244897959183, 'f1-score': 0.05405405405405406, 'support': 98.0}, '0.0': {'precision': 0.28448275862068967, 'recall': 0.4925373134328358, 'f1-score': 0.3606557377049181, 'support': 67.0}, '1.0': {'precision': 0.33884297520661155, 'recall': 0.4823529411764706, 'f1-score': 0.39805825242718446, 'support': 85.0}, 'accuracy': 0.308, 'macro avg': {'precision': 0.28469832153217733, 'recall': 0.3351674998357552, 'f1-score': 0.27092268139538556, 'support': 250.0}, 'weighted avg': {'precision': 0.28190952934213126, 'recall': 0.308, 'f1-score': 0.25318473271934994, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']",0
114,AZUL4.SA,17,0.753508859202774,-27.45319405000009,40.0,0.292,"{'-1.0': {'precision': 0.38461538461538464, 'recall': 0.05102040816326531, 'f1-score': 0.09009009009009009, 'support': 98.0}, '0.0': {'precision': 0.23275862068965517, 'recall': 0.40298507462686567, 'f1-score': 0.29508196721311475, 'support': 67.0}, '1.0': {'precision': 0.33884297520661155, 'recall': 0.4823529411764706, 'f1-score': 0.39805825242718446, 'support': 85.0}, 'accuracy': 0.292, 'macro avg': {'precision': 0.3187389935038838, 'recall': 0.31211947465553386, 'f1-score': 0.26107676991012974, 'support': 250.0}, 'weighted avg': {'precision': 0.3283551526843063, 'recall': 0.292, 'f1-score': 0.24973708835367278, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']",0
115,AZUL4.SA,18,0.753508859202774,-13.69160000000007,48.48484848484848,0.312,"{'-1.0': {'precision': 0.3684210526315789, 'recall': 0.07142857142857142, 'f1-score': 0.11965811965811965, 'support': 98.0}, '0.0': {'precision': 0.24742268041237114, 'recall': 0.3582089552238806, 'f1-score': 0.29268292682926833, 'support': 67.0}, '1.0': {'precision': 0.35074626865671643, 'recall': 0.5529411764705883, 'f1-score': 0.4292237442922374, 'support': 85.0}, 'accuracy': 0.312, 'macro avg': {'precision': 0.3221966672335555, 'recall': 0.32752623437434675, 'f1-score': 0.2805215969265418, 'support': 250.0}, 'weighted avg': {'precision': 0.32998406232537797, 'recall': 0.312, 'f1-score': 0.2712810803555875, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']",0
116,AZUL4.SA,19,0.753508859202774,-17.12669314000006,50.0,0.324,"{'-1.0': {'precision': 0.7058823529411765, 'recall': 0.12244897959183673, 'f1-score': 0.20869565217391303, 'support': 98.0}, '0.0': {'precision': 0.27419354838709675, 'recall': 0.5074626865671642, 'f1-score': 0.35602094240837695, 'support': 67.0}, '1.0': {'precision': 0.3211009174311927, 'recall': 0.4117647058823529, 'f1-score': 0.36082474226804123, 'support': 85.0}, 'accuracy': 0.324, 'macro avg': {'precision': 0.4337256062531553, 'recall': 0.347225457347118, 'f1-score': 0.3085137789501104, 'support': 250.0}, 'weighted avg': {'precision': 0.4593640652472887, 'recall': 0.324, 'f1-score': 0.29990272058875295, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']",0
117,AZUL4.SA,20,0.753508859202774,-8.814922260000076,48.14814814814815,0.32,"{'-1.0': {'precision': 0.5294117647058824, 'recall': 0.09183673469387756, 'f1-score': 0.1565217391304348, 'support': 98.0}, '0.0': {'precision': 0.2698412698412698, 'recall': 0.5074626865671642, 'f1-score': 0.35233160621761656, 'support': 67.0}, '1.0': {'precision': 0.34579439252336447, 'recall': 0.43529411764705883, 'f1-score': 0.3854166666666667, 'support': 85.0}, 'accuracy': 0.32, 'macro avg': {'precision': 0.3816824756901722, 'recall': 0.3448645129693668, 'f1-score': 0.298090004004906, 'support': 250.0}, 'weighted avg': {'precision': 0.39741696554011013, 'recall': 0.32, 'f1-score': 0.2868230588721184, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']",0
118,AZUL4.SA,21,0.753508859202774,-24.23669356000001,39.285714285714285,0.284,"{'-1.0': {'precision': 0.5, 'recall': 0.061224489795918366, 'f1-score': 0.1090909090909091, 'support': 98.0}, '0.0': {'precision': 0.22413793103448276, 'recall': 0.3880597014925373, 'f1-score': 0.2841530054644809, 'support': 67.0}, '1.0': {'precision': 0.319672131147541, 'recall': 0.4588235294117647, 'f1-score': 0.37681159420289856, 'support': 85.0}, 'accuracy': 0.284, 'macro avg': {'precision': 0.3479366873940079, 'recall': 0.30270257356674013, 'f1-score': 0.25668516958609616, 'support': 250.0}, 'weighted avg': {'precision': 0.3647574901074053, 'recall': 0.284, 'f1-score': 0.24703258385710275, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']",0
119,AZUL4.SA,22,0.753508859202774,21.783192400000026,52.63157894736842,0.312,"{'-1.0': {'precision': 0.5454545454545454, 'recall': 0.061224489795918366, 'f1-score': 0.11009174311926606, 'support': 98.0}, '0.0': {'precision': 0.25735294117647056, 'recall': 0.5223880597014925, 'f1-score': 0.34482758620689646, 'support': 67.0}, '1.0': {'precision': 0.3592233009708738, 'recall': 0.43529411764705883, 'f1-score': 0.3936170212765957, 'support': 85.0}, 'accuracy': 0.312, 'macro avg': {'precision': 0.3873435958672966, 'recall': 0.33963555571482323, 'f1-score': 0.2828454502009194, 'support': 250.0}, 'weighted avg': {'precision': 0.404924692383573, 'recall': 0.312, 'f1-score': 0.2693995436402431, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']",0
120,AZUL4.SA,23,0.753508859202774,-21.54199290000006,48.27586206896552,0.292,"{'-1.0': {'precision': 0.52, 'recall': 0.1326530612244898, 'f1-score': 0.21138211382113822, 'support': 98.0}, '0.0': {'precision': 0.18823529411764706, 'recall': 0.23880597014925373, 'f1-score': 0.21052631578947364, 'support': 67.0}, '1.0': {'precision': 0.3142857142857143, 'recall': 0.5176470588235295, 'f1-score': 0.39111111111111113, 'support': 85.0}, 'accuracy': 0.292, 'macro avg': {'precision': 0.3408403361344538, 'recall': 0.29636869673242433, 'f1-score': 0.27100651357390765, 'support': 250.0}, 'weighted avg': {'precision': 0.3611442016806723, 'recall': 0.292, 'f1-score': 0.2722606190272429, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']",0
121,AZUL4.SA,24,0.753508859202774,-16.41989897999998,44.44444444444444,0.32,"{'-1.0': {'precision': 0.4411764705882353, 'recall': 0.15306122448979592, 'f1-score': 0.22727272727272727, 'support': 98.0}, '0.0': {'precision': 0.23232323232323232, 'recall': 0.34328358208955223, 'f1-score': 0.2771084337349397, 'support': 67.0}, '1.0': {'precision': 0.358974358974359, 'recall': 0.49411764705882355, 'f1-score': 0.4158415841584158, 'support': 85.0}, 'accuracy': 0.32, 'macro avg': {'precision': 0.34415802062860884, 'recall': 0.3301541512127239, 'f1-score': 0.3067409150553609, 'support': 250.0}, 'weighted avg': {'precision': 0.3572550847844965, 'recall': 0.32, 'f1-score': 0.30474210794573436, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']",0
122,AZUL4.SA,25,0.753508859202774,74.68330838999998,63.888888888888886,0.304,"{'-1.0': {'precision': 0.41379310344827586, 'recall': 0.12244897959183673, 'f1-score': 0.1889763779527559, 'support': 98.0}, '0.0': {'precision': 0.23577235772357724, 'recall': 0.43283582089552236, 'f1-score': 0.30526315789473685, 'support': 67.0}, '1.0': {'precision': 0.35714285714285715, 'recall': 0.4117647058823529, 'f1-score': 0.38251366120218583, 'support': 85.0}, 'accuracy': 0.304, 'macro avg': {'precision': 0.33556943943823675, 'recall': 0.32234983545657064, 'f1-score': 0.2922510656832262, 'support': 250.0}, 'weighted avg': {'precision': 0.34682245985021426, 'recall': 0.304, 'f1-score': 0.285943911282013, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']",0
123,AZUL4.SA,26,0.753508859202774,-23.108205700000024,29.411764705882355,0.304,"{'-1.0': {'precision': 0.5882352941176471, 'recall': 0.10204081632653061, 'f1-score': 0.1739130434782609, 'support': 98.0}, '0.0': {'precision': 0.24, 'recall': 0.3582089552238806, 'f1-score': 0.28742514970059885, 'support': 67.0}, '1.0': {'precision': 0.3157894736842105, 'recall': 0.49411764705882355, 'f1-score': 0.38532110091743116, 'support': 85.0}, 'accuracy': 0.304, 'macro avg': {'precision': 0.38134158926728584, 'recall': 0.31812247286974493, 'f1-score': 0.28221976469876364, 'support': 250.0}, 'weighted avg': {'precision': 0.4022766563467492, 'recall': 0.304, 'f1-score': 0.27621302747516535, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']",0
124,AZUL4.SA,27,0.753508859202774,-35.73220000000002,31.818181818181817,0.324,"{'-1.0': {'precision': 0.6363636363636364, 'recall': 0.07142857142857142, 'f1-score': 0.12844036697247704, 'support': 98.0}, '0.0': {'precision': 0.2621359223300971, 'recall': 0.40298507462686567, 'f1-score': 0.31764705882352945, 'support': 67.0}, '1.0': {'precision': 0.34558823529411764, 'recall': 0.5529411764705883, 'f1-score': 0.42533936651583715, 'support': 85.0}, 'accuracy': 0.324, 'macro avg': {'precision': 0.4146959313292837, 'recall': 0.34245160750867515, 'f1-score': 0.2904755974372812, 'support': 250.0}, 'weighted avg': {'precision': 0.4372069726390114, 'recall': 0.324, 'f1-score': 0.2800934202333016, 'support': 250.0}}","['n_estimators', 'adx_period', 'atr_period', 'cci_period', 'stc_window_slow', 'stc_window_fast', 'stc_cycle', 'stc_smooth1', 'stc_smooth2', 'kst_r1', 'kst_r2', 'kst_r3', 'kst_r4', 'kst_n1', 'kst_n2', 'kst_n3', 'kst_n4', 'kst_signal', 'trix_window', 'mass_window_fast', 'mass_window_slow', 'dpo_window', 'rsi_window', 'awesome_window1', 'awesome_window2']",0
125,PRIO3.SA,3,0.2936438415611818,-6.041917670000057,53.70370370370371,0.304,"{'-1.0': {'precision': 0.47619047619047616, 'recall': 0.36363636363636365, 'f1-score': 0.41237113402061853, 'support': 110.0}, '0.0': {'precision': 0.16964285714285715, 'recall': 0.37254901960784315, 'f1-score': 0.23312883435582818, 'support': 51.0}, '1.0': {'precision': 0.3148148148148148, 'recall': 0.19101123595505617, 'f1-score': 0.23776223776223776, 'support': 89.0}, 'accuracy': 0.304, 'macro avg': {'precision': 0.32021604938271603, 'recall': 0.30906553973308765, 'f1-score': 0.29442073537956154, 'support': 250.0}, 'weighted avg': {'precision': 0.35620502645502644, 'recall': 0.304, 'f1-score': 0.3136449378210177, 'support': 250.0}}","['n_estimators', 'adx_period', 'cci_period', 'mass_window_fast', 'mass_window_slow']",0
126,PRIO3.SA,4,0.2936438415611818,-19.30207613999993,50.98039215686274,0.34,"{'-1.0': {'precision': 0.4339622641509434, 'recall': 0.41818181818181815, 'f1-score': 0.42592592592592593, 'support': 110.0}, '0.0': {'precision': 0.19148936170212766, 'recall': 0.35294117647058826, 'f1-score': 0.2482758620689655, 'support': 51.0}, '1.0': {'precision': 0.42, 'recall': 0.23595505617977527, 'f1-score': 0.302158273381295, 'support': 89.0}, 'accuracy': 0.34, 'macro avg': {'precision': 0.34848387528435704, 'recall': 0.33569268361072724, 'f1-score': 0.32545335379206214, 'support': 250.0}, 'weighted avg': {'precision': 0.37952722601364913, 'recall': 0.34, 'f1-score': 0.3456240285932174, 'support': 250.0}}","['n_estimators', 'adx_period', 'cci_period', 'mass_window_fast', 'mass_window_slow']",0
127,PRIO3.SA,5,0.2936438415611818,-3.469904529999985,48.21428571428572,0.356,"{'-1.0': {'precision': 0.47619047619047616, 'recall': 0.45454545454545453, 'f1-score': 0.46511627906976744, 'support': 110.0}, '0.0': {'precision': 0.16279069767441862, 'recall': 0.27450980392156865, 'f1-score': 0.20437956204379562, 'support': 51.0}, '1.0': {'precision': 0.423728813559322, 'recall': 0.2808988764044944, 'f1-score': 0.33783783783783783, 'support': 89.0}, 'accuracy': 0.356, 'macro avg': {'precision': 0.3542366624747389, 'recall': 0.33665137829050584, 'f1-score': 0.3357778929838003, 'support': 250.0}, 'weighted avg': {'precision': 0.3935805694765096, 'recall': 0.356, 'f1-score': 0.36661486371790225, 'support': 250.0}}","['n_estimators', 'adx_period', 'cci_period', 'mass_window_fast', 'mass_window_slow']",0
128,PRIO3.SA,6,0.2936438415611818,-1.506399819999951,48.07692307692308,0.34,"{'-1.0': {'precision': 0.4942528735632184, 'recall': 0.39090909090909093, 'f1-score': 0.43654822335025384, 'support': 110.0}, '0.0': {'precision': 0.19607843137254902, 'recall': 0.39215686274509803, 'f1-score': 0.261437908496732, 'support': 51.0}, '1.0': {'precision': 0.36065573770491804, 'recall': 0.24719101123595505, 'f1-score': 0.29333333333333333, 'support': 89.0}, 'accuracy': 0.34, 'macro avg': {'precision': 0.35032901421356183, 'recall': 0.3434189882967147, 'f1-score': 0.33043982172677305, 'support': 250.0}, 'weighted avg': {'precision': 0.3858647069907669, 'recall': 0.34, 'f1-score': 0.3498412182741117, 'support': 250.0}}","['n_estimators', 'adx_period', 'cci_period', 'mass_window_fast', 'mass_window_slow']",0
