Date,Open,High,Low,Close,Adj Close,Volume
2010-10-25,24.100000,24.400000,22.100800,23.340000,23.302572,25180000
2010-10-26,22.800200,23.400000,22.500000,22.500000,22.463919,7200000
2010-10-27,22.500000,23.200001,22.202400,22.700001,22.663599,3685000
2010-10-28,22.709999,22.709999,22.100000,22.500000,22.463919,2900000
2010-10-29,22.600000,22.900000,22.400000,22.740000,22.703533,825000
2010-11-01,22.840000,23.779800,22.840000,23.500000,23.462315,910000
2010-11-03,23.760000,24.200001,23.403400,23.900000,23.861673,2010000
2010-11-04,23.900000,24.199800,23.800400,23.959999,23.921577,1385000
2010-11-05,23.959600,24.440001,23.959600,24.400000,24.360872,5510000
2010-11-08,24.400000,24.400000,24.000000,24.000000,23.961514,960000
2010-11-09,24.000200,24.600000,23.600000,23.600000,23.562155,1500000
2010-11-10,24.200001,24.200001,23.220400,23.700001,23.661995,465000
2010-11-11,23.200001,23.840000,23.200001,23.600000,23.562155,1085000
2010-11-12,23.599800,23.699800,23.312201,23.400000,23.362474,345000
2010-11-16,23.000000,23.200001,22.200001,22.240999,22.205334,1245000
2010-11-17,22.240999,22.739799,22.240200,22.600000,22.563759,1025000
2010-11-18,22.900000,24.080000,22.900000,24.000200,23.961714,1300000
2010-11-19,23.500000,24.100000,23.500000,24.000000,23.961514,1455000
2010-11-22,24.040199,24.040199,23.799999,24.020000,23.981482,815000
2010-11-23,24.000000,24.400000,23.900000,24.200001,24.161194,1040000
2010-11-24,24.600000,27.000000,24.600000,27.000000,26.956703,1055000
2010-11-25,27.600000,27.600000,26.600000,27.000000,26.956703,585000
2010-11-26,26.620001,28.700001,26.620001,27.799999,27.755419,1450000
2010-11-29,27.799999,28.360001,27.420000,27.700001,27.655581,1065000
2010-11-30,27.200001,28.000000,26.650400,27.080000,27.036573,510000
2010-12-01,27.080200,27.999800,27.000200,27.999800,27.954899,990000
2010-12-02,28.000000,29.945999,27.799999,29.600000,29.552534,1580000
2010-12-03,29.980000,31.799801,29.302000,31.232000,31.181917,2645000
2010-12-06,31.100201,32.599998,31.100201,32.499599,32.447483,5535000
2010-12-07,32.500000,33.979801,32.000000,32.000000,31.948685,1485000
2010-12-08,32.500000,33.359798,32.200199,32.799999,32.747402,2010000
2010-12-09,33.099998,33.099998,31.600000,32.000000,31.948685,3030000
2010-12-10,32.299999,32.299999,30.420000,30.600000,30.550930,2090000
2010-12-13,30.700199,31.200001,30.640800,31.200001,31.149969,1100000
2010-12-14,31.099600,31.099600,30.639999,30.799999,30.750608,1490000
2010-12-15,30.600000,31.000000,30.404400,30.934999,30.885391,1570000
2010-12-16,31.000200,31.139999,30.920000,31.100000,31.050129,730000
2010-12-17,31.100000,33.000000,31.100000,33.000000,32.947083,1215000
2010-12-20,33.000198,33.000198,32.200001,32.200001,32.148365,820000
2010-12-21,32.099998,32.400002,31.600201,31.999599,31.948284,310000
2010-12-22,32.000000,32.400002,31.400000,31.500999,31.450485,825000
2010-12-23,32.200001,32.200001,31.799999,31.799999,31.749004,80000
2010-12-27,31.600201,32.599998,31.600000,32.200001,32.148365,215000
2010-12-28,32.700001,32.700001,32.200001,32.200001,32.148365,40000
2010-12-29,32.590000,32.599998,31.740200,31.740200,31.689301,85000
2010-12-30,32.000000,32.200001,31.600000,31.799999,31.749004,100000
2011-01-03,31.800200,33.099998,31.600000,32.799999,32.747402,780000
2011-01-04,33.000000,33.799999,32.900002,33.599998,33.546116,280000
2011-01-05,33.599400,33.599998,32.419998,32.419998,32.368008,430000
2011-01-06,32.400002,32.400002,30.900000,31.500000,31.449486,650000
2011-01-07,32.000000,32.000000,31.000000,31.600000,31.549326,635000
2011-01-10,31.879200,32.700001,31.600000,32.700001,32.647564,1100000
2011-01-11,33.195801,33.399799,32.400002,33.099998,33.046921,1655000
2011-01-12,33.100399,34.740002,33.100399,34.000000,33.945477,2465000
2011-01-13,34.200001,36.000000,34.200001,35.619999,35.562878,2910000
2011-01-14,36.000000,36.545601,35.104801,35.700001,35.642754,950000
2011-01-17,36.200001,36.400002,35.400002,36.259998,36.201851,360000
2011-01-18,36.299999,36.400002,35.799999,36.000000,35.942268,810000
2011-01-19,35.820202,35.820202,34.601002,35.299999,35.243393,495000
2011-01-20,35.400002,35.400002,34.599998,34.599998,34.544514,1415000
2011-01-21,34.599998,34.599998,34.200001,34.200001,34.145157,415000
2011-01-24,34.000000,36.000000,34.000000,35.599998,35.542912,580000
2011-01-26,36.000000,36.499802,35.300800,35.899799,35.842232,1240000
2011-01-27,35.999802,36.400002,35.700199,36.200001,36.141949,1090000
2011-01-28,36.399799,36.682598,35.600399,36.500000,36.441467,3045000
2011-01-31,36.500000,36.600201,36.040001,36.360001,36.301693,2485000
2011-02-01,36.400200,37.200001,36.300400,36.900002,36.840828,1825000
2011-02-02,36.900002,37.599800,36.800201,37.000000,36.940666,765000
2011-02-03,36.999802,37.000198,36.099998,36.599998,36.541306,790000
2011-02-04,36.559799,37.400002,36.559799,36.819801,36.760757,1095000
2011-02-07,36.800201,37.399799,35.680000,36.500000,36.441467,540000
2011-02-08,35.549400,35.549599,35.549400,35.549599,35.492592,15000
2011-02-09,34.799999,35.599800,33.000198,33.299999,33.246601,1485000
2011-02-10,34.000000,34.000000,32.400200,33.299999,33.246601,1335000
2011-02-11,34.000000,35.500000,34.000000,34.599998,34.544514,3500000
2011-02-14,34.599998,36.199799,34.599998,35.880001,35.822464,2400000
2011-02-15,35.800201,35.960201,35.055000,35.599998,35.542912,2825000
2011-02-16,36.000000,36.000000,35.200001,35.799999,35.742592,1665000
2011-02-17,35.899799,37.399799,35.879799,36.599998,36.541306,1815000
2011-02-18,37.599998,38.857601,36.800400,38.299999,38.238583,2065000
2011-02-21,38.100201,39.399799,38.099998,39.198799,39.135941,825000
2011-02-22,39.200001,39.799599,38.600399,38.899799,38.837418,1350000
2011-02-23,39.200001,39.200001,36.720200,38.000000,37.939064,1205000
2011-02-24,38.000000,38.000000,38.000000,38.000000,37.939064,0
2011-02-25,35.000000,36.000000,34.100201,36.000000,35.942268,7545000
2011-02-28,35.999199,37.499802,35.820000,37.499802,37.439667,23265000
2011-03-01,36.999599,37.749802,36.599998,37.099602,37.040108,2390000
2011-03-02,37.099602,38.372200,36.599998,38.040001,37.979000,4160000
2011-03-03,38.400002,38.499401,37.400002,37.799999,37.739384,2670000
2011-03-04,38.000000,39.999802,38.000000,39.560200,39.496761,1815000
2011-03-09,39.560200,39.560200,39.560200,39.560200,39.496761,0
2011-03-10,40.540001,41.000000,39.599998,40.599400,40.534294,890000
2011-03-11,39.599998,40.579800,39.000000,40.559799,40.494759,1080000
2011-03-14,40.740002,41.900002,40.600201,41.500000,41.433449,605000
2011-03-15,40.680000,41.200199,39.759998,40.999802,40.934055,1235000
2011-03-16,41.099800,42.799999,40.700001,42.439999,42.371941,1430000
2011-03-17,42.599998,44.000000,41.700199,43.400002,43.330406,2700000
2011-03-18,43.400002,44.400002,41.000198,42.000000,41.932648,1450000
2011-03-21,41.225399,41.225601,41.225399,41.225601,41.159492,5000
2011-03-22,40.100201,41.997799,39.000198,41.200001,41.133934,1565000
